balance_date,fund,series,account,cash_balance,sweep_balance,projected_total_balance
2024-11-14,PRIME,QUARTERLY1,MARGIN,$0.00,"$3,505,916.07","$3,505,916.07"
2024-11-14,PRIME,S1,MAIN,$0.00,$0.00,$0.00
2024-11-14,PRIME,S1,MARGIN,$0.00,$0.00,$0.00
2024-11-14,MMT,MASTER,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-14,MMT,TERM,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-14,MMT,MASTER,MARGIN,$0.00,$0.00,$0.00
2024-11-14,MMT,TERM,MARGIN,$0.00,$0.00,$0.00
2024-11-19,USG,MASTER,MAIN,"-$15,304.31","$70,764,886.05","$70,749,581.74"
2024-11-19,USG,MONTHLY,MAIN,"-$15,304.31","$70,764,886.05","$70,749,581.74"
2024-11-19,USG,MASTER,MARGIN,$0.00,"$1,245,682.32","$1,245,682.32"
2024-11-19,USG,MONTHLY,MARGIN,$0.00,"$1,245,682.32","$1,245,682.32"
2024-11-19,PRIME,MASTER,MAIN,$0.00,"$137,535,484.01","$134,125,808.71"
2024-11-19,PRIME,MASTER,MARGIN,$0.00,"$11,156,693.76","$11,967,294.82"
2024-11-19,PRIME,MONTHLY,MAIN,$0.00,"$35,988,023.99","$35,508,584.03"
2024-11-19,PRIME,MONTHLY,MARGIN,$0.00,"$2,275,854.44","$3,086,455.50"
2024-11-19,PRIME,S1,MAIN,$0.00,$0.00,$0.00
2024-11-19,PRIME,S1,MARGIN,$0.00,$0.00,$0.00
2024-11-19,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
2024-11-19,PRIME,MONTHLY1,MARGIN,$0.00,$0.00,$0.00
2024-11-19,PRIME,A1,MAIN,$0.00,"$7,195,469.91","$7,195,469.91"
2024-11-19,PRIME,A1,MARGIN,$0.00,$0.00,$0.00
2024-11-19,PRIME,A2Y,MAIN,$0.00,"$673,440.28","$2,946,982.55"
2024-11-19,PRIME,A2Y,MARGIN,$0.00,"$723,613.49","$723,613.49"
2024-11-19,PRIME,Q364,MAIN,$0.00,"$19,669,581.02","$20,093,719.09"
2024-11-19,PRIME,Q364,MARGIN,$0.00,"$1,955,977.38","$1,955,977.38"
2024-11-19,PRIME,2YIG,MAIN,$0.00,$0.00,$0.00
2024-11-19,PRIME,2YIG,MARGIN,$0.00,$0.00,$0.00
2024-11-19,PRIME,QUARTERLYX,MAIN,$0.00,"$11,398,561.22","$11,925,374.50"
2024-11-19,PRIME,QUARTERLYX,MARGIN,$0.00,"$325,556.98","$325,556.98"
2024-11-19,PRIME,QUARTERLY1,MAIN,$0.00,"$20,641,394.87","$13,481,424.90"
2024-11-19,PRIME,QUARTERLY1,MARGIN,$0.00,"$2,529,372.31","$2,529,372.31"
2024-11-19,PRIME,MONTHLYIG,MAIN,$0.00,"$34,063,702.39","$35,025,911.27"
2024-11-19,PRIME,MONTHLYIG,MARGIN,$0.00,"$3,027,447.40","$3,027,447.40"
2024-11-19,PRIME,USGM,MAIN,$0.00,"$5,406,000.69","$5,406,000.69"
2024-11-19,PRIME,USGM,MARGIN,$0.00,"$37,950.00","$37,950.00"
2024-11-19,PRIME,CUSTOM1,MAIN,$0.00,"$2,499,308.55","$2,542,340.67"
2024-11-19,PRIME,CUSTOM1,MARGIN,$0.00,"$280,921.81","$280,921.81"
2024-11-19,MMT,MASTER,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-19,MMT,TERM,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-19,MMT,MASTER,MARGIN,$0.00,$0.00,$0.00
2024-11-19,MMT,TERM,MARGIN,$0.00,$0.00,$0.00
2024-11-20,USG,MASTER,MAIN,"-$15,304.31","$70,764,886.05","$70,749,581.74"
2024-11-20,USG,MONTHLY,MAIN,"-$15,304.31","$70,764,886.05","$70,749,581.74"
2024-11-20,USG,MASTER,MARGIN,$0.00,"$1,245,682.32","$1,245,682.32"
2024-11-20,USG,MONTHLY,MARGIN,$0.00,"$1,245,682.32","$1,245,682.32"
2024-11-20,PRIME,MASTER,MAIN,"$4,600,509.79","$143,347,492.21","$150,864,968.12"
2024-11-20,PRIME,MASTER,MARGIN,$0.00,"$10,303,637.76","$11,028,178.15"
2024-11-20,PRIME,2YIG,MAIN,$0.00,$0.00,$0.00
2024-11-20,PRIME,2YIG,MARGIN,$0.00,$0.00,$0.00
2024-11-20,PRIME,S1,MAIN,$0.00,$0.00,$0.00
2024-11-20,PRIME,S1,MARGIN,$0.00,$0.00,$0.00
2024-11-20,PRIME,QUARTERLY1,MAIN,$0.00,"$17,011,304.73","$12,036,334.76"
2024-11-20,PRIME,QUARTERLY1,MARGIN,$0.00,"$2,529,372.31","$2,529,372.31"
2024-11-20,PRIME,A1,MAIN,$0.00,"$7,195,469.91","$7,195,469.91"
2024-11-20,PRIME,A1,MARGIN,$0.00,$0.00,$0.00
2024-11-20,PRIME,CUSTOM1,MAIN,$0.00,"$2,922,034.27","$3,387,433.22"
2024-11-20,PRIME,CUSTOM1,MARGIN,$0.00,"$244,456.15","$244,456.15"
2024-11-20,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
2024-11-20,PRIME,MONTHLY1,MARGIN,$0.00,$0.00,$0.00
2024-11-20,PRIME,Q364,MAIN,"$4,600,509.79","$18,003,374.18","$22,947,266.61"
2024-11-20,PRIME,Q364,MARGIN,$0.00,"$1,875,221.95","$1,875,221.95"
2024-11-20,PRIME,MONTHLYIG,MAIN,$0.00,"$38,800,275.10","$40,004,245.06"
2024-11-20,PRIME,MONTHLYIG,MARGIN,$0.00,"$2,666,037.74","$2,666,037.74"
2024-11-20,PRIME,USGM,MAIN,$0.00,"$5,406,000.69","$5,406,000.69"
2024-11-20,PRIME,USGM,MARGIN,$0.00,"$37,950.00","$37,950.00"
2024-11-20,PRIME,MONTHLY,MAIN,$0.00,"$41,869,205.27","$45,028,789.69"
2024-11-20,PRIME,MONTHLY,MARGIN,$0.00,"$1,982,184.63","$2,706,725.02"
2024-11-20,PRIME,QUARTERLYX,MAIN,$0.00,"$11,466,386.69","$11,912,444.54"
2024-11-20,PRIME,QUARTERLYX,MARGIN,$0.00,"$244,801.55","$244,801.55"
2024-11-20,PRIME,A2Y,MAIN,$0.00,"$673,440.28","$2,946,982.55"
2024-11-20,PRIME,A2Y,MARGIN,$0.00,"$723,613.49","$723,613.49"
2024-11-20,MMT,MASTER,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-20,MMT,TERM,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-20,MMT,MASTER,MARGIN,$0.00,$0.00,$0.00
2024-11-20,MMT,TERM,MARGIN,$0.00,$0.00,$0.00
